day,avg_quality,variance,precision
372,5705.684096688106,915369.4441259723,0.00016235416666666663
373,5695.034950839442,923695.9581682907,0.00015699999999999994
374,5698.608496960729,924628.6436049769,0.0001594166666666666
375,5699.3771434053415,937131.20175089,0.00015913194444444435
376,5694.966639542421,938095.6330343884,0.00016001388888888882
377,5707.359935190075,906429.3222230456,0.00016395138888888883
378,5696.954807303306,931760.0228772276,0.00015947916666666655
379,5702.627678200177,930103.3981464406,0.00016305555555555545
380,5697.268208427271,930299.4268680488,0.00016081249999999996
381,5693.396998958015,940012.8708854194,0.0001635347222222222
382,5702.577323084403,913392.6179340224,0.0001638263888888888
383,5684.788474282773,975042.0541562237,0.00015971527777777775
384,5694.719044604143,937732.1174427,0.00016494444444444437
385,5694.893137002064,943118.2881307572,0.00016316666666666666
386,5691.173097961358,927454.873316472,0.0001622222222222222
387,5681.456675156387,990967.7826516625,0.00016379861111111106
388,5691.044837368366,963923.6651336827,0.00016502777777777775
389,5699.153065761009,921956.3901070728,0.0001649444444444444
390,5700.06354119235,930502.7577840516,0.00016646527777777778
391,5691.501009428673,955906.1957674186,0.00016525694444444435
392,5684.626193297198,994103.3069079899,0.00016858333333333333
393,5690.612006734483,943210.6080748459,0.0001658541666666667
394,5699.885549779835,918378.0360952523,0.00017025
395,5699.926557468546,930159.6148420239,0.000173173611111111
396,5691.557188318194,949847.4056125941,0.0001697986111111111
397,5674.210954008469,1005015.5555938738,0.00016514583333333325
398,5702.068152496777,916916.6657780624,0.00017656944444444436
399,5686.639343813262,969558.2279716202,0.00016670833333333322
400,5705.635180430573,915648.0717429959,0.00017687499999999984
401,5683.023413489544,975713.8967229853,0.0001694513888888888
402,5704.910689602677,908908.5684731423,0.00017437499999999997
403,5692.851094907623,942126.0181034612,0.0001752847222222221
404,5692.833687269668,957276.902926052,0.0001761319444444444
405,5689.420441789961,955180.657585085,0.00017319444444444432
406,5667.556932131681,1053025.7426351295,0.0001739861111111111
407,5692.946067269522,965049.9069305197,0.0001775902777777777
408,5699.017149230946,932041.8665559872,0.00018172916666666663
409,5696.257660316812,948029.0438052426,0.00017634722222222222
410,5699.110236011562,922847.8466806822,0.0001769583333333333
411,5691.56083969957,963053.6005206638,0.00018145138888888876
412,5683.1654550710855,988875.4109275421,0.00017476388888888877
413,5695.171342367758,943943.623478127,0.00017761111111111094
414,5698.502629039021,928112.8251838278,0.00018059027777777778
415,5683.729729533668,942183.9080928353,0.00017489583333333322
416,5701.4819722140455,919907.1255459241,0.00018618055555555548
417,5691.58268670179,958939.8194752022,0.00018047916666666662
418,5687.607397558745,964390.4717953063,0.00018331944444444442
419,5697.882295886022,941976.9090925918,0.00018320833333333313
